dataset	no	nbSentences	elman	perf
UD_Ancient_Greek-PROIEL	10000	10000	0	1.00000000
UD_Ancient_Greek-PROIEL	1000	1000	0	1.00000000
UD_Ancient_Greek-PROIEL	100	100	0	1.00000000
UD_Ancient_Greek-PROIEL	10	10	0	1.00000000
UD_Arabic-NYUAD	10000	10000	0	1.00000000
UD_Arabic-NYUAD	1000	1000	0	1.00000000
UD_Arabic-NYUAD	100	100	0	1.00000000
UD_Arabic-NYUAD	10	10	0	1.00000000
UD_Catalan	10000	10000	0	0.99989954
UD_Catalan	1000	1000	0	0.99961825
UD_Catalan	100	100	0	0.99847298
UD_Catalan	10	10	0	0.99763245
UD_Czech-CAC	10000	10000	1	0.99995400
UD_Czech-CAC	1000	1000	1	0.99984667
UD_Czech-CAC	100	100	1	0.99975467
UD_Czech-CAC	10	10	1	0.99923334
UD_Czech	10000	10000	1	0.99967122
UD_Czech	1000	1000	1	0.99957351
UD_Czech	100	100	1	0.99555183
UD_Czech	10	10	1	0.99499403
UD_Dutch	10000	10000	1	0.99872253
UD_Dutch	1000	1000	1	0.99933085
UD_Dutch	100	100	1	0.99784047
UD_Dutch	10	10	1	0.99428180
UD_English	10000	10000	0	0.99803510
UD_English	1000	1000	0	0.99590177
UD_English	100	100	0	0.99181156
UD_English	10	10	0	0.98502663
UD_Finnish-FTB	10000	10000	0	1.00000000
UD_Finnish-FTB	1000	1000	0	1.00000000
UD_Finnish-FTB	100	100	0	1.00000000
UD_Finnish-FTB	10	10	0	1.00000000
UD_French-FTB	10000	10000	0	0.99998591
UD_French-FTB	1000	1000	0	0.99998591
UD_French-FTB	100	100	0	0.99998591
UD_French-FTB	10	10	0	0.99998591
UD_French	10000	10000	0	0.99907327
UD_French	1000	1000	0	0.99919415
UD_French	100	100	0	0.99766303
UD_French	10	10	0	0.99298910
UD_German	10000	10000	0	0.99944495
UD_German	1000	1000	0	0.99660801
UD_German	100	100	0	0.99533344
UD_German	10	10	0	0.98755242
UD_Hindi	10000	10000	0	0.99995863
UD_Hindi	1000	1000	0	0.99862307
UD_Hindi	100	100	0	0.99830395
UD_Hindi	10	10	0	0.99696839
UD_Italian	10000	10000	1	0.99981260
UD_Italian	1000	1000	1	0.99853826
UD_Italian	100	100	1	0.99840708
UD_Italian	10	10	1	0.99465902
UD_Latin-ITTB	10000	10000	0	0.99964783
UD_Latin-ITTB	1000	1000	0	0.99958075
UD_Latin-ITTB	100	100	0	0.99956398
UD_Latin-ITTB	10	10	0	0.99875901
UD_Latin-PROIEL	10000	10000	0	1.00000000
UD_Latin-PROIEL	1000	1000	0	1.00000000
UD_Latin-PROIEL	100	100	0	1.00000000
UD_Latin-PROIEL	10	10	0	1.00000000
UD_Norwegian-Bokmaal	10000	10000	0	0.99981366
UD_Norwegian-Bokmaal	1000	1000	0	0.99969564
UD_Norwegian-Bokmaal	100	100	0	0.99782602
UD_Norwegian-Bokmaal	10	10	0	0.99549675
UD_Norwegian-Nynorsk	10000	10000	0	0.99988184
UD_Norwegian-Nynorsk	1000	1000	0	0.99984491
UD_Norwegian-Nynorsk	100	100	0	0.99836049
UD_Norwegian-Nynorsk	10	10	0	0.99590860
UD_Russian-SynTagRus	10000	10000	0	0.99927607
UD_Russian-SynTagRus	1000	1000	0	0.99796249
UD_Russian-SynTagRus	100	100	0	0.99552944
UD_Russian-SynTagRus	10	10	0	0.99246733
UD_Spanish-AnCora	10000	10000	1	0.99978470
UD_Spanish-AnCora	1000	1000	1	0.99986364
UD_Spanish-AnCora	100	100	1	0.99963757
UD_Spanish-AnCora	10	10	1	0.99861130
UD_Spanish	10000	10000	0	0.99990334
UD_Spanish	1000	1000	0	0.99985501
UD_Spanish	100	100	0	0.99964557
UD_Spanish	10	10	0	0.99118765
